queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;10;100;10;2.17236;0.002305;46.0328;4338.39
LockBased Queue;2;10;100;10;0.070111;0.002305;1426.31;4338.39
LockBased Queue;3;10;100;10;0.040145;0.002174;2490.97;4599.82
LockBased Queue;4;10;100;10;0.042821;0.002214;2335.3;4516.71
LockBased Queue;5;10;100;10;0.079289;0.002274;1261.21;4397.54
LockBased Queue;6;10;100;10;0.049533;0.002234;2018.86;4476.28
LockBased Queue;7;10;100;10;0.035978;0.002314;2779.48;4321.52
LockBased Queue;8;10;100;10;0.062908;0.002124;1589.62;4708.1
LockBased Queue;9;10;100;10;0.068158;0.004628;1467.18;2160.76
LockBased Queue;10;10;100;10;0.218409;0.002315;457.857;4319.65
