queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
<<<<<<< HEAD
FIFO Queue;1;8;100;10;0.0774;0.0257;1291.99;486.381
FIFO Queue;2;8;100;10;0.0181;0.0237;5524.86;527.426
FIFO Queue;3;8;100;10;0.0185;0.0245;5405.41;510.204
FIFO Queue;4;8;100;10;0.0171;0.0249;5847.95;502.008
FIFO Queue;5;8;100;10;0.0162;0.0247;6172.84;506.073
FIFO Queue;6;8;100;10;0.0166;0.0215;6024.1;581.395
FIFO Queue;7;8;100;10;0.0158;0.0212;6329.11;589.623
FIFO Queue;8;8;100;10;0.0159;0.0211;6289.31;592.417
FIFO Queue;9;8;100;10;0.0154;0.0194;6493.51;644.33
FIFO Queue;10;8;100;10;0.0156;0.0207;6410.26;603.865
=======
FIFO Queue;1;8;100;10;2.40207;0.043863;41.6307;284.978
FIFO Queue;2;8;100;10;0.459001;0.041016;217.864;304.759
FIFO Queue;3;8;100;10;0.051576;0.041227;1938.89;303.199
FIFO Queue;4;8;100;10;0.048631;0.040526;2056.3;308.444
FIFO Queue;5;8;100;10;0.048852;0.046307;2047;269.938
FIFO Queue;6;8;100;10;0.054572;0.039705;1832.44;314.822
FIFO Queue;7;8;100;10;0.054402;0.041007;1838.17;304.826
FIFO Queue;8;8;100;10;0.050675;0.036939;1973.36;338.396
FIFO Queue;9;8;100;10;0.048681;0.03732;2054.19;334.941
FIFO Queue;10;8;100;10;0.051667;0.037451;1935.47;333.769
>>>>>>> 73457c8d80fcbc0d7d1740303f4add5a74e206cb
